id,weeks,prod,cust,scen,price
457,8,PEP_P,LV,2,0.390265
458,8,PEP_P,LV,3,0.438246
459,8,PEP_P,LV,4,0.367687
460,8,PEP_P,LV,5,0.321706
461,8,CAUL_P,LA,1,0.631085
462,8,CAUL_P,LA,2,0.66174
463,8,CAUL_P,LA,3,1.26147
464,8,CAUL_P,LA,4,0.635002
465,8,CAUL_P,LA,5,0.645313
466,8,CAUL_P,LV,1,0.587537
467,8,CAUL_P,LV,2,0.609678
468,8,CAUL_P,LV,3,0.992706
469,8,CAUL_P,LV,4,0.602919
470,8,CAUL_P,LV,5,0.618932
471,8,LET_P,LA,1,0.8784
472,8,LET_P,LA,2,0.566379
473,8,LET_P,LA,3,0.592632
474,8,LET_P,LA,4,0.448768
475,8,LET_P,LA,5,0.484298
476,8,LET_P,LV,1,0.695964
477,8,LET_P,LV,2,0.47413
478,8,LET_P,LV,3,0.608187
479,8,LET_P,LV,4,0.398705
480,8,LET_P,LV,5,0.416735
481,9,TOM_P,LA,1,0.40413
482,9,TOM_P,LA,2,0.501025
483,9,TOM_P,LA,3,0.412826
484,9,TOM_P,LA,4,0.501875
485,9,TOM_P,LA,5,0.350496
486,9,TOM_P,LV,1,0.305196
487,9,TOM_P,LV,2,0.398598
488,9,TOM_P,LV,3,0.352833
489,9,TOM_P,LV,4,0.554983
490,9,TOM_P,LV,5,0.31781
491,9,CEL_P,LA,1,0.142671
492,9,CEL_P,LA,2,0.132262
493,9,CEL_P,LA,3,0.547844
494,9,CEL_P,LA,4,0.118163
495,9,CEL_P,LA,5,0.163096
496,9,CEL_P,LV,1,0.150974
497,9,CEL_P,LV,2,0.152478
498,9,CEL_P,LV,3,0.484271
499,9,CEL_P,LV,4,0.133965
500,9,CEL_P,LV,5,0.177787
501,9,CUX_P,LA,1,0.17164
502,9,CUX_P,LA,2,0.187646
503,9,CUX_P,LA,3,0.170437
504,9,CUX_P,LA,4,0.220761
505,9,CUX_P,LA,5,0.176527
506,9,CUX_P,LV,1,0.119811
507,9,CUX_P,LV,2,0.159618
508,9,CUX_P,LV,3,0.134322
509,9,CUX_P,LV,4,0.17429
510,9,CUX_P,LV,5,0.145944
511,9,PEP_P,LA,1,0.411936
512,9,PEP_P,LA,2,0.522323
513,9,PEP_P,LA,3,0.787203
514,9,PEP_P,LA,4,0.471245
515,9,PEP_P,LA,5,0.48353
516,9,PEP_P,LV,1,0.340026
517,9,PEP_P,LV,2,0.446089
518,9,PEP_P,LV,3,0.649976
519,9,PEP_P,LV,4,0.36878
520,9,PEP_P,LV,5,0.372773
521,9,CAUL_P,LA,1,0.95068
522,9,CAUL_P,LA,2,0.743421
523,9,CAUL_P,LA,3,1.23455
524,9,CAUL_P,LA,4,0.660784
525,9,CAUL_P,LA,5,0.673297
526,9,CAUL_P,LV,1,0.755599
527,9,CAUL_P,LV,2,0.723006
528,9,CAUL_P,LV,3,1.00236
529,9,CAUL_P,LV,4,0.613215
530,9,CAUL_P,LV,5,0.643726
531,9,LET_P,LA,1,0.962301
532,9,LET_P,LA,2,0.826635
533,9,LET_P,LA,3,0.615192
534,9,LET_P,LA,4,0.447346
535,9,LET_P,LA,5,0.552606
536,9,LET_P,LV,1,0.815184
537,9,LET_P,LV,2,0.63787
538,9,LET_P,LV,3,0.637931
539,9,LET_P,LV,4,0.377115
540,9,LET_P,LV,5,0.485608
541,10,TOM_P,LA,1,0.405998
542,10,TOM_P,LA,2,0.615228
543,10,TOM_P,LA,3,0.61966
544,10,TOM_P,LA,4,0.476464
545,10,TOM_P,LA,5,0.350496
546,10,TOM_P,LV,1,0.322561
547,10,TOM_P,LV,2,0.502972
548,10,TOM_P,LV,3,0.499338
549,10,TOM_P,LV,4,0.484131
550,10,TOM_P,LV,5,0.316225
551,10,CEL_P,LA,1,0.170468
552,10,CEL_P,LA,2,0.140528
553,10,CEL_P,LA,3,0.654855
554,10,CEL_P,LA,4,0.121816
555,10,CEL_P,LA,5,0.163096
556,10,CEL_P,LV,1,0.158932
557,10,CEL_P,LV,2,0.143238
558,10,CEL_P,LV,3,0.571243
559,10,CEL_P,LV,4,0.135933
560,10,CEL_P,LV,5,0.170873
561,10,CUX_P,LA,1,0.196758
562,10,CUX_P,LA,2,0.210792
563,10,CUX_P,LA,3,0.167739
564,10,CUX_P,LA,4,0.220761
565,10,CUX_P,LA,5,0.176527
566,10,CUX_P,LV,1,0.150497
567,10,CUX_P,LV,2,0.16537
568,10,CUX_P,LV,3,0.137933
569,10,CUX_P,LV,4,0.174837
570,10,CUX_P,LV,5,0.145944
571,10,PEP_P,LA,1,0.416601
572,10,PEP_P,LA,2,0.535109
573,10,PEP_P,LA,3,1.0236
574,10,PEP_P,LA,4,0.464439
575,10,PEP_P,LA,5,0.473911
576,10,PEP_P,LV,1,0.344163
577,10,PEP_P,LV,2,0.443278
578,10,PEP_P,LV,3,0.854502
579,10,PEP_P,LV,4,0.394093
580,10,PEP_P,LV,5,0.388404
581,10,CAUL_P,LA,1,1.1945
582,10,CAUL_P,LA,2,0.76326
583,10,CAUL_P,LA,3,0.922325
584,10,CAUL_P,LA,4,0.668284
585,10,CAUL_P,LA,5,0.684042
586,10,CAUL_P,LV,1,0.934431
587,10,CAUL_P,LV,2,0.74019
588,10,CAUL_P,LV,3,0.719806
589,10,CAUL_P,LV,4,0.637553
590,10,CAUL_P,LV,5,0.651914
591,10,LET_P,LA,1,1.25423
592,10,LET_P,LA,2,0.935751
593,10,LET_P,LA,3,0.615192
594,10,LET_P,LA,4,0.53311
595,10,LET_P,LA,5,0.575631
596,10,LET_P,LV,1,1.07457
597,10,LET_P,LV,2,0.778681
598,10,LET_P,LV,3,0.557724
599,10,LET_P,LV,4,0.431399
600,10,LET_P,LV,5,0.544791
601,11,TOM_P,LA,1,0.395922
602,11,TOM_P,LA,2,0.688191
603,11,TOM_P,LA,3,0.677714
604,11,TOM_P,LA,4,0.623806
605,11,TOM_P,LA,5,0.350496
606,11,TOM_P,LV,1,0.306905
607,11,TOM_P,LV,2,0.542953
608,11,TOM_P,LV,3,0.546386
609,11,TOM_P,LV,4,0.507964
610,11,TOM_P,LV,5,0.320239
611,11,CEL_P,LA,1,0.229077
612,11,CEL_P,LA,2,0.150448
613,11,CEL_P,LA,3,0.840563
614,11,CEL_P,LA,4,0.191856
615,11,CEL_P,LA,5,0.145827
616,11,CEL_P,LV,1,0.208595
617,11,CEL_P,LV,2,0.151261
618,11,CEL_P,LV,3,0.794532
619,11,CEL_P,LV,4,0.178503
620,11,CEL_P,LV,5,0.158188
621,11,CUX_P,LA,1,0.200247
622,11,CUX_P,LA,2,0.183513
623,11,CUX_P,LA,3,0.153798
624,11,CUX_P,LA,4,0.385936
625,11,CUX_P,LA,5,0.176527
626,11,CUX_P,LV,1,0.138051
627,11,CUX_P,LV,2,0.140918
628,11,CUX_P,LV,3,0.122387
629,11,CUX_P,LV,4,0.244608
630,11,CUX_P,LV,5,0.145944
631,11,PEP_P,LA,1,0.438968
632,11,PEP_P,LA,2,0.535109
633,11,PEP_P,LA,3,0.898209
634,11,PEP_P,LA,4,0.608966
635,11,PEP_P,LA,5,0.460403
636,11,PEP_P,LV,1,0.383132
