weeks,prod,cust,scen,price
4,LET_P,LA,5,0.406124
4,LET_P,LV,1,0.760614
4,LET_P,LV,2,0.632788
4,LET_P,LV,3,0.525185
4,LET_P,LV,4,0.425589
4,LET_P,LV,5,0.343276
4,PEP_P,LA,1,1.09084
4,PEP_P,LA,2,0.874472
4,PEP_P,LA,3,0.752954
4,PEP_P,LA,4,0.634328
4,PEP_P,LA,5,0.527776
4,PEP_P,LV,1,1.09644
4,PEP_P,LV,2,0.81148
4,PEP_P,LV,3,0.623629
4,PEP_P,LV,4,0.480537
4,PEP_P,LV,5,0.386054
4,TOM_P,LA,1,3.23738
4,TOM_P,LA,2,1.9989
4,TOM_P,LA,3,1.11241
4,TOM_P,LA,4,0.65542
4,TOM_P,LA,5,0.384615
4,TOM_P,LV,1,3.10858
4,TOM_P,LV,2,1.73552
4,TOM_P,LV,3,1.00984
4,TOM_P,LV,4,0.644286
4,TOM_P,LV,5,0.362139
5,CAUL_P,LA,1,0.920698
5,CAUL_P,LA,2,0.768122
5,CAUL_P,LA,3,0.667975
5,CAUL_P,LA,4,0.601698
5,CAUL_P,LA,5,0.5352
5,CAUL_P,LV,1,0.854961
5,CAUL_P,LV,2,0.750478
5,CAUL_P,LV,3,0.655874
5,CAUL_P,LV,4,0.596943
5,CAUL_P,LV,5,0.535887
5,CEL_P,LA,1,2.73789
5,CEL_P,LA,2,1.07868
5,CEL_P,LA,3,0.431813
5,CEL_P,LA,4,0.203038
5,CEL_P,LA,5,0.0843365
5,CEL_P,LV,1,2.00307
5,CEL_P,LV,2,0.880009
5,CEL_P,LV,3,0.402327
5,CEL_P,LV,4,0.216591
5,CEL_P,LV,5,0.0940057
5,CUX_P,LA,1,0.264122
5,CUX_P,LA,2,0.218971
5,CUX_P,LA,3,0.194255
5,CUX_P,LA,4,0.167561
5,CUX_P,LA,5,0.150291
5,CUX_P,LV,1,0.203393
5,CUX_P,LV,2,0.173744
5,CUX_P,LV,3,0.152637
5,CUX_P,LV,4,0.133773
5,CUX_P,LV,5,0.11941
5,LET_P,LA,1,0.875299
5,LET_P,LA,2,0.614241
5,LET_P,LA,3,0.514828
5,LET_P,LA,4,0.433524
5,LET_P,LA,5,0.348413
5,LET_P,LV,1,0.724305
5,LET_P,LV,2,0.555956
5,LET_P,LV,3,0.466901
5,LET_P,LV,4,0.379529
5,LET_P,LV,5,0.31064
5,PEP_P,LA,1,0.783106
5,PEP_P,LA,2,0.688717
5,PEP_P,LA,3,0.612357
5,PEP_P,LA,4,0.541432
5,PEP_P,LA,5,0.487012
5,PEP_P,LV,1,0.757781
5,PEP_P,LV,2,0.633934
5,PEP_P,LV,3,0.53291
5,PEP_P,LV,4,0.439148
5,PEP_P,LV,5,0.372937
5,TOM_P,LA,1,2.07148
5,TOM_P,LA,2,1.38175
5,TOM_P,LA,3,0.860157
5,TOM_P,LA,4,0.518434
5,TOM_P,LA,5,0.35289
